category,n_products,n_obs,elasticity,p_value,r_squared,avg_price,avg_qty_per_month,avg_price_gap_vs_competitors_pct,total_revenue,classification
furniture_decor,4,48,-7.411,0.0002,0.397,60.15,18.6,-10.4,56942.0,Elastic (protect volume)
perfumery,2,26,-4.89,0.0455,0.2,89.35,9.4,-2.9,20313.0,Elastic (protect volume)
bed_bath_table,5,61,-3.413,0.0919,0.236,78.63,16.8,0.8,95080.0,Elastic (protect volume)
watches_gifts,8,103,-3.05,0.0,0.295,164.88,13.9,12.8,207555.0,Elastic (protect volume)
computers_accessories,6,69,-2.486,0.0085,0.267,119.48,16.9,-7.3,141928.0,Elastic (protect volume)
consoles_games,2,22,-2.419,0.0102,0.303,27.03,10.9,-0.0,5800.0,Elastic (protect volume)
cool_stuff,5,57,-1.197,0.307,0.034,107.86,9.8,6.6,57956.0,Not statistically significant
garden_tools,10,160,-1.196,0.1628,0.302,80.09,15.0,39.3,163427.0,Not statistically significant
health_beauty,10,130,0.612,0.7225,0.13,132.31,14.2,118.2,212419.0,Not statistically significant
